pattern(d = 0.0138141),length,p,f,supportSum,sup+,sup-,+ or -
1,1,4.50952e-05,7.25444e-12,28,20,8,+
2,1,1.54171e-07,7.25444e-12,24,4,20,-
3,1,1,7.25444e-12,32,16,16,N
1 1,2,4.50952e-05,7.25444e-12,28,20,8,+
1 1 1,3,4.50952e-05,7.25444e-12,28,20,8,+
1 1 1 1,4,4.50952e-05,7.25444e-12,28,20,8,+
1 1 1 1 1,5,0.751186,1.67578e-09,18,10,8,+
1 1 1 1 1 2,6,0.0648332,0.00021796,10,2,8,-
1 1 1 1 1 2 2,7,0.0648332,0.00021796,10,2,8,-
1 1 1 1 1 2 2 3,8,0.003276,0.001638,8,0,8,-
1 1 1 1 1 3,6,0.003276,0.001638,8,8,0,+
1 1 1 1 2,5,0.300845,2.25476e-05,12,4,8,-
1 1 1 1 2 2,6,0.300845,2.25476e-05,12,4,8,-
1 1 1 1 2 2 3,7,0.003276,0.001638,8,0,8,-
1 1 1 1 3,5,1.54171e-07,7.70857e-08,16,16,0,+
1 1 1 2,4,0.300845,2.25476e-05,12,4,8,-
1 1 1 2 2,5,0.300845,2.25476e-05,12,4,8,-
1 1 1 2 2 3,6,0.003276,0.001638,8,0,8,-
1 1 1 3,4,1.54171e-07,7.70857e-08,16,16,0,+
1 1 2,3,0.300845,2.25476e-05,12,4,8,-
1 1 2 2,4,0.300845,2.25476e-05,12,4,8,-
1 1 2 2 3,5,0.003276,0.001638,8,0,8,-
1 1 3,3,1.54171e-07,7.70857e-08,16,16,0,+
1 2,2,0.300845,2.25476e-05,12,4,8,-
1 2 2,3,0.300845,2.25476e-05,12,4,8,-
1 2 2 3,4,0.003276,0.001638,8,0,8,-
1 3,2,1.54171e-07,7.70857e-08,16,16,0,+
2 2,2,1.54171e-07,7.25444e-12,24,4,20,-
2 2 2,3,1,0.0530146,4,0,4,-
2 2 3,3,1.54171e-07,7.70857e-08,16,0,16,-
2 3,2,1.54171e-07,7.70857e-08,16,0,16,-
